English,Machine translation,Human Translation
Sensitive content,உணர்ச்சிமிக்க உள்ளடக்கம்,பாதிப்பை ஏற்படுத்தக்கூடிய பகிர்வு
Sensational content,பரபரப்பான உள்ளடக்கம்,பரபரப்பான பகிர்வு
Explicit,வெளிப்படையான,பகீரங்கமான
encrypt,குறியாக்கு,ரகசியக்காப்பு
end-to-end encryption,முனை-முதல்-முனை குறியாக்கம்,அனுப்புநர்-பெறுநர் ரகசியக்காப்பு
Content,உள்ளடக்கம்,பகிர்வு
Content,திருப்தி,மனநிறைவு
Graphic  violence,சித்திரவதை ,காணத்தகாத வன்முறை
Graphic  sexual content,அப்பட்டமான பாலியல்,காணத்தகாத பாலியல் பகிர்வு
Gore  ,ரத்தமயம்,கொடூரமான
Hateful  ,வெறுப்புமிக்க,வெறுப்புமிக்க
Discriminatory  ,பாகுபாடான,பாகுபாடுள்ள
Harassment  ,துன்புறுத்தல்,துன்புறுத்தல்
Bullying  ,சீண்டுதல்,மிரட்டுதல்
Threatening  ,மிரட்டுதல்,அச்சுறுத்தல்
Adult  ,பெரியோருக்கான,வயதுவந்தோருக்கான
Sexual  ,பாலியல்,உடலுறவுதொடர்பான
Nudity  ,நிர்வாணம்,அம்மணமான
Obscene  ,அருவருப்பான,குமட்டவைக்கும்
Profane  ,அவதூறான,நெறியற்ற
Offensive  ,புண்படுத்தும்,மனதைப் பாதிக்கும்
Derogatory  ,இழிவான,அவமானப்படுத்துகிற
Slur  ,நிந்தனை,பழித்தல்
Homophobic  ,தன்பாலினவெறுப்பு,ஓரினச்சேர்க்கை வெறுப்பு
Transphobic  ,திருநங்கையர்-வெறுப்பு,திருநபர் வெறுப்பு
Xenophobic  ,அந்நியவெறுப்பு,அந்நியர்வெறுப்பு
Disinformation  ,பொய்த்தகவல்,திரிக்கப்பட்ட தகவல்
Fraudulent  ,மோசடியான,ஏமாற்றுதலான
Scam  ,ஏமாற்று,வஞ்சகம்
Spam  ,குப்பைச்செய்தி,மொய்த்தல்
Malware  ,தீம்பொருள்,தீயமென்பொருள்
Phishing  ,தகவல்-திருட்டு,தூண்டிலிடல்
Radicalizing  ,தீவிரமயமாக்கல்,வன்முறையாக்கல்
Self-harm  ,சுய-தீங்கு,தன்னையே காயப்படுத்தல்
Eating-disorder  ,உணவு-குறைபாடு,உண்பதில் கோளாறு
